JobID|User|Account|Partition|State|AllocCPUS|Elapsed|Start|End|NCPUS|NNodes|TotalCPU|UserCPU|SystemCPU|CPUTime
5858816|ilyas.bouziani|limset-account|gpu|FAILED|44|00:00:29|2023-12-12T10:37:13|2023-12-12T10:37:42|44|1|17:22.750|15:57.725|01:25.025|00:21:16
5858816.batch||limset-account||FAILED|44|00:00:29|2023-12-12T10:37:13|2023-12-12T10:37:42|44|1|17:22.750|15:57.725|01:25.025|00:21:16
5858817|ikissami|novec-account|special|COMPLETED|8|00:00:04|2023-12-12T10:37:43|2023-12-12T10:37:47|8|2|00:02.654|00:01.455|00:01.198|00:00:32
5858817.batch||novec-account||COMPLETED|4|00:00:04|2023-12-12T10:37:43|2023-12-12T10:37:47|4|1|00:01.584|00:00.892|00:00.692|00:00:16
5858817.0||novec-account||COMPLETED|1|00:00:03|2023-12-12T10:37:45|2023-12-12T10:37:48|1|1|00:01.069|00:00.562|00:00.506|00:00:03
5858818|ikissami|novec-account|gpu|COMPLETED|1|00:00:02|2023-12-12T10:38:54|2023-12-12T10:38:56|1|1|00:00.585|00:00.481|00:00.103|00:00:02
5858818.batch||novec-account||COMPLETED|1|00:00:02|2023-12-12T10:38:54|2023-12-12T10:38:56|1|1|00:00.585|00:00.481|00:00.103|00:00:02
5858819|ikissami|novec-account|gpu|CANCELLED by 1063|1|00:03:09|2023-12-12T10:41:07|2023-12-12T10:44:16|1|1|00:23.556|00:14.451|00:09.105|00:03:09
5858819.batch||novec-account||CANCELLED|1|00:03:10|2023-12-12T10:41:07|2023-12-12T10:44:17|1|1|00:23.556|00:14.451|00:09.105|00:03:10
5858820|ikissami|novec-account|gpu|COMPLETED|2|00:00:29|2023-12-12T10:45:12|2023-12-12T10:45:41|2|2|00:21.381|00:16.704|00:04.677|00:00:58
5858820.batch||novec-account||COMPLETED|1|00:00:29|2023-12-12T10:45:12|2023-12-12T10:45:41|1|1|00:21.381|00:16.704|00:04.677|00:00:29
5858821|ikissami|novec-account|special|TIMEOUT|1|00:01:01|2023-12-12T10:47:37|2023-12-12T10:48:38|1|1|00:46.038|00:41.021|00:05.016|00:01:01
5858821.batch||novec-account||CANCELLED|1|00:01:03|2023-12-12T10:47:37|2023-12-12T10:48:40|1|1|00:46.038|00:41.021|00:05.016|00:01:03
5858822|ikissami|novec-account|special|FAILED|1|00:00:08|2023-12-12T10:51:25|2023-12-12T10:51:33|1|1|00:03.820|00:03.043|00:00.777|00:00:08
5858822.batch||novec-account||FAILED|1|00:00:08|2023-12-12T10:51:25|2023-12-12T10:51:33|1|1|00:03.820|00:03.043|00:00.777|00:00:08
5858823|ikissami|novec-account|gpu|FAILED|2|00:00:10|2023-12-12T10:51:45|2023-12-12T10:51:55|2|2|00:04.822|00:03.350|00:01.471|00:00:20
5858823.batch||novec-account||FAILED|1|00:00:10|2023-12-12T10:51:45|2023-12-12T10:51:55|1|1|00:04.822|00:03.350|00:01.471|00:00:10
5858824|ikissami|novec-account|gpu|COMPLETED|2|00:00:29|2023-12-12T10:53:14|2023-12-12T10:53:43|2|2|00:21.445|00:16.929|00:04.515|00:00:58
5858824.batch||novec-account||COMPLETED|1|00:00:29|2023-12-12T10:53:14|2023-12-12T10:53:43|1|1|00:21.445|00:16.929|00:04.515|00:00:29
5858825|ikissami|novec-account|special|CANCELLED by 1063|1|00:01:20|2023-12-12T10:53:43|2023-12-12T10:55:03|1|1|00:54.037|00:49.023|00:05.013|00:01:20
5858825.batch||novec-account||CANCELLED|1|00:01:21|2023-12-12T10:53:43|2023-12-12T10:55:04|1|1|00:54.037|00:49.023|00:05.013|00:01:21
5858826|ilyas.bouziani|limset-account|longq|COMPLETED|44|01:01:46|2023-12-12T10:54:33|2023-12-12T11:56:19|44|1|1-20:00:35|1-17:09:53|02:50:42|1-21:17:44
5858826.batch||limset-account||COMPLETED|44|01:01:46|2023-12-12T10:54:33|2023-12-12T11:56:19|44|1|1-20:00:35|1-17:09:53|02:50:42|1-21:17:44
5858827|ikissami|novec-account|special|COMPLETED|1|00:13:09|2023-12-12T10:55:49|2023-12-12T11:08:58|1|1|13:02.310|11:40.115|01:22.195|00:13:09
5858827.batch||novec-account||COMPLETED|1|00:13:09|2023-12-12T10:55:49|2023-12-12T11:08:58|1|1|13:02.310|11:40.115|01:22.195|00:13:09
